LibraryID	Cutibacterium_acnes	Cutibacterium_granulosum	Propionibacterium_sp._oral_taxon_193	Rothia_mucilaginosa	Rothia_dentocariosa	Micrococcus_luteus	Kocuria_palustris	Microbacterium_aurum	Dermacoccus_nishinomiyaensis	Actinomyces_oris	Corynebacterium_ureicelerivorans	Streptococcus_mitis	Streptococcus_oralis	Streptococcus_sanguinis	Streptococcus_pneumoniae	Streptococcus_gordonii	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sp._oral_taxon_431	Streptococcus_pseudopneumoniae	Streptococcus_sp._NPS_308	Staphylococcus_aureus	Staphylococcus_epidermidis	Staphylococcus_hominis	Staphylococcus_capitis	Veillonella_parvula	Pseudomonas_aeruginosa	Pseudomonas_putida	Moraxella_osloensis	Acinetobacter_junii	Haemophilus_parainfluenzae	Stenotrophomonas_maltophilia	Neisseria_subflava	Neisseria_elongata	Neisseria_sicca	Neisseria_mucosa	Neisseria_meningitidis	Sphingomonas_melonis	Roseomonas_sp._FDAARGOS_362	Magnetospirillum_gryphiswaldense	Prevotella_melaninogenica
MBT272	0.5093878614788189	0.003757316450747662	0.007199713314582947	0.01865627070053319	0.007351743459988923	0.0023781858459934625	3.9093465961536375e-4	0.0014225677891559067	4.886683245192046e-4	0.019014627471847276	5.212462128204849e-4	0.015669964272915827	0.013031155320512123	0.006732763582264597	0.011782336268963045	0.005223321424305276	0.004191688294764733	0.005473085234615092	0.0022152964044870613	0.002541075287499864	0.0015854572306623082	0.01018601974220031	0.0030731807964207757	7.710100231303007e-4	5.64683397222192e-4	0.004984416910095888	0.00349669334433742	0.0030297436120190688	0.013291778426922364	9.664773529379824e-4	0.0029428692432156545	0.0018243617448716973	0.004245984775266867	0.003388100383333152	0.005407929458012531	0.005288477200907837	0.004495748585576682	6.081205816238991e-4	6.949949504273133e-4	1.0859296100426771e-5	0.005831442005929175
MBT273	0.5066751152577185	0.0031463718399720323	0.006795289182161819	0.01908580418205257	0.007680206262153953	0.0017370594533178928	3.3867196888587845e-4	4.369960888850045e-4	3.6052177333012865e-4	0.021161535604256338	5.025455022177552e-4	0.014868791924312277	0.012978783839884633	0.018517709266502064	0.010979526733235738	0.005134704044398803	0.00393296479996504	0.004959905608844801	0.0021194310310922717	0.002425328293311775	0.0014530119955426398	0.0121812659776695	0.004271636768850919	6.991937422160072e-4	4.1514628444075423e-4	0.004533834422181921	0.003561518124412786	0.0034850438088579105	0.011525771844341993	8.412174711036335e-4	0.002643826337754277	0.0023051543688683983	0.004544759324404046	0.0042388620621845435	0.010455131426573732	0.010324032599908231	0.004632158542181047	4.1514628444075423e-4	8.084427644372582e-4	0	0.004948980706622676
MBT274	0.33121868002985394	0.0022390446742723107	0.00737818530760209	0.0694956818424139	0.014937626612645272	0.001535344919501013	3.1986352489604436e-4	2.665529374133703e-4	4.264846998613925e-4	0.04306429256850411	4.584710523509969e-4	0.02746561467107368	0.03221025695703167	0.01331698475317198	0.023456658492376586	0.00943597398443331	0.015172193197569038	0.019469026548672566	0.008806909052137754	0.004552724171020366	0.003976969826207485	0.025130610939332554	0.005192451220812454	7.889966947435761e-4	4.264846998613925e-4	0.008444397057255571	0.001812559974410918	0.0016526282119628958	0.007303550485126347	4.4780893485446213e-4	0.005949461563066425	0.0011728329246188294	0.011984220066105129	0.0070156733127199064	0.015460070369975478	0.014841667555176458	0.008465721292248641	3.9449834737178803e-4	2.9853928990297474e-4	0	0.015118882610086364
MBT275	0.4867628399918967	0.0027295311816950816	0.0049259508044653426	0.00725031720137756	0.002622908869910117	0.0018765526874153686	2.9854247299789953e-4	4.6913817185384216e-4	6.610583330667776e-4	0.006845152416594697	0.010534284404354456	0.004787341799144889	0.00419025685314909	0.00222840631630575	0.0033479405900478736	0.0013541033596690445	9.276141125291879e-4	0.00196185053684334	9.06289650172195e-4	7.037072577807632e-4	6.71720564245274e-4	0.01992771007260979	0.0030387358858714776	0.0019725127680218363	7.143694889592597e-4	0.0020791350798068002	0.0024629754022326713	0.002612246638731621	0.024352536011685806	0.0027828423375875636	0.0014180767467400228	0.0017166192197379225	0.0018552282250583758	0.0011515209672776125	0.0014500634402755121	0.0017912548379873973	0.0010555608866711448	5.544360212818134e-4	8.52978494279713e-4	0.002740193412873578	0.0016633080638454403
MBT276	0.5974561705053283	0.00965967686490203	0.05735647988999656	0.002234444826400825	3.6094877964936404e-4	0.006943966998968719	0.001065658301821932	3.781368167755243e-4	0.0014094190443451357	0.00175317978686834	0.0016672396012375388	0.014627019594362325	0.0022860089377793056	5.500171880371262e-4	0.006892402887590237	1.8906840838776214e-4	5.672052251632863e-4	7.218975592987281e-4	0.0014609831557236164	0.0014437951185974562	0.0010312822275696115	2.4063251976624267e-4	0.018270883465108287	0.0028188380886902714	1.8906840838776214e-4	5.156411137848057e-4	0.0010140941904434515	0.005293915434857339	0.005792368511515985	9.969061533172912e-4	4.1251289102784463e-4	0.0026985218288071502	5.843932622894466e-4	4.1251289102784463e-4	6.359573736679271e-4	6.359573736679271e-4	0	2.0625644551392232e-4	5.672052251632863e-4	0	3.4376074252320387e-4
MBT277	0.6884025546109099	0.003976325102713257	0.02357320099255583	0.00339665622584713	8.847577594272465e-4	0.0031220762315421224	2.745799943050075e-4	2.0339258837407968e-4	3.864459179107514e-4	0.0013627303421063336	1.6271407069926375e-4	0.051315950046780294	0.007383150957979092	8.542488711711346e-4	0.03770898588455437	6.915348004718709e-4	0.00240003254281414	0.0021152829190904283	0.002867835496074523	0.007403490216816499	0.0017084977423422693	2.4407110604889558e-4	0.005674653215636823	4.271244355855673e-4	5.389903591913111e-4	9.152666476833584e-4	4.169548061668633e-4	7.322133181466868e-4	0.004383110279461416	3.661066590733434e-4	4.169548061668633e-4	9.762844241955823e-4	2.0339258837407968e-4	1.3220518244315177e-4	3.661066590733434e-4	3.0508888256111947e-4	2.1356221779278366e-4	1.2203555302444779e-4	1.830533295366717e-4	0	5.084814709351991e-4
MBT278	0.7548943950420877	0.008227570076814399	0.037208087475809996	0.0021963931662491542	6.173645656484108e-4	0.005888708164646381	5.817473791686949e-4	1.6621353690534138e-4	7.479609160740363e-4	0.0016265181825736979	4.986406107160243e-4	0.01278656994621805	0.002018307233850574	3.4429946930392147e-4	0.0073490128103147374	2.2557551437153475e-4	4.392786332498308e-4	6.52981752128127e-4	9.73536430445571e-4	0.0021132863977964835	4.0366144677011486e-4	7.123437295943203e-5	0.004689596219829275	5.698749836754562e-4	8.191952890334683e-4	3.086822828242054e-4	7.004713341010816e-4	5.105130062092628e-4	0.00438091393700507	5.698749836754562e-4	4.392786332498308e-4	0.0010922603853779577	3.9178905127687616e-4	1.6621353690534138e-4	4.6302342423630815e-4	6.52981752128127e-4	8.310676845267069e-5	1.1872395493238671e-4	4.7489581972954685e-4	0	1.8995832789181876e-4
MBT279	0.7437510888836508	0.006651157547372844	0.07580679873330805	0.0021214015597938035	0.0028387837297723846	0.0020599116595099256	5.021675189850066e-4	2.1521465099357432e-4	3.894360351312297e-4	0.004191561536017709	4.714225688430675e-4	0.005544339342263033	0.0019881734425120676	9.940867212560338e-4	0.004427272820439243	2.9720118470541213e-4	8.198653371183784e-4	6.45643952980723e-4	4.91919202271027e-4	8.403619705463377e-4	2.8695286799143235e-4	0.0017422138413765538	0.010760732549678716	8.506102872603174e-4	0.001547495823810939	5.944023694108243e-4	0.002869528679914324	0.0018959385920862498	0.0033102062986154522	6.968855365506216e-4	0.0014040193898152227	0.0014040193898152227	5.124158356989865e-4	8.916035541162364e-4	8.30113653832358e-4	7.891203869764391e-4	3.6893940170327024e-4	3.484427682753108e-4	2.049663342795946e-4	4.406776187011283e-4	0.0015065025569550201
MBT280	0.06136031154060124	0.0015350380153709845	0.006284383821317454	0.013022067459254527	0.001998640100550141	0.32789030144437803	0.0011744586157871962	0.009375064389178497	0.002843426122432159	0.0012877835699421011	0.004223930109410092	0.014021387509529597	0.002843426122432159	5.563225022149877e-4	0.012331815465765561	3.399748624647147e-4	0.0019780355634310674	0.002709496631158181	0.0015865493581686686	0.002761007973955865	8.035769476438711e-4	0.005810479467578761	0.0010199245873941441	4.1209074238147237e-4	2.369521768693466e-4	0.0021634763975027296	8.035769476438711e-4	4.8420662229823003e-4	0.02102693013001463	6.078338450126718e-4	0.0019059196835143099	0.002451939917169761	0.006325592895555601	7.108565306080398e-4	5.563225022149877e-4	3.6057939958378834e-4	0.0029876578822656745	0.0010405291245132178	0.001349597181299322	0.0016895720437640367	0.00836544207034389
MBT281	0.055241250242003145	0.0014627745391184632	0.002721190870565965	0.0032267085421730807	0.001172370770322886	0.35542194592036486	0.0012153935508851935	0.009454256028567126	0.00347408953040635	8.496999161055779e-4	8.712113063867317e-4	0.005162733667476929	9.249897820896165e-4	8.604556112461549e-5	0.006571729730892507	1.828468173898079e-4	6.991201841375007e-4	3.549379396390389e-4	5.377847570288468e-4	0.0017531783079140404	2.0435820767096178e-4	0.06259814571815776	0.011003076128810204	3.549379396390389e-4	1.7209112224923098e-4	2.4738098823326953e-4	6.023189278723083e-4	4.947619764665391e-4	0.015993718674037902	5.700518424505775e-4	0.0011616150751823091	0.0011616150751823091	0.0016241099662271173	1.0755695140576936e-4	1.9360251253038485e-4	0	0.0015273087099619248	4.3022780562307746e-4	0.0018069567836169252	0	0.0010863252091982704
